Region,Country,Sum of Cases,Sum of Deaths,Confirmed cases during 14-days period
Africa,Algeria,124265,3036,11173
Africa,Angola,21380,521,573
Africa,Benin,6501,81,867
Africa,Botswana,35009,447,6628
Africa,Burkina_Faso,12378,144,396
Africa,Burundi,2461,3,252
Africa,Cameroon,38988,588,3274
Africa,Cape_Verde,16101,156,701
Africa,Central_African_Republic,5025,63,28
Africa,Chad,4309,154,336
Africa,Comoros,3635,146,64
Africa,Congo,9329,131,509
Africa,Cote_dIvoire,37653,211,5022
Africa,Democratic_Republic_of_the_Congo,27076,717,1163
Africa,Djibouti,6268,63,202
Africa,Egypt,190924,11300,8500
Africa,Equatorial_Guinea,6562,98,467
Africa,Eritrea,3038,7,191
Africa,Eswatini,17237,661,223
Africa,Ethiopia,175467,2550,16395
Africa,Gabon,16660,96,2096
Africa,Gambia,5019,153,307
Africa,Ghana,87762,685,3739
Africa,Guinea,17851,103,1859
Africa,Guinea_Bissau,3380,51,133
Africa,Kenya,113236,1913,7263
Africa,Lesotho,10530,309,39
Africa,Liberia,2030,85,20
Africa,Libya,144993,2386,10866
Africa,Madagascar,21356,326,1525
Africa,Malawi,32831,1083,886
Africa,Mali,8913,360,537
Africa,Mauritania,17424,443,294
Africa,Mauritius,691,10,81
Africa,Morocco,488937,8723,5171
Africa,Mozambique,64516,725,5166
Africa,Namibia,41200,458,2355
Africa,Niger,4860,182,120
Africa,Nigeria,160657,2013,5000
Africa,Rwanda,20186,280,1396
Africa,Sao_Tome_and_Principe,2078,32,292
Africa,Senegal,36892,963,2372
Africa,Seychelles,3515,16,897
Africa,Sierra_Leone,3937,79,50
Africa,Somalia,9190,367,1933
Africa,South_Africa,1529420,51326,17195
Africa,South_Sudan,9613,106,1687
Africa,Sudan,30989,1959,642
Africa,Togo,8183,96,1282
Africa,Tunisia,242124,8404,8455
Africa,Uganda,40581,334,246
Africa,United_Republic_of_Tanzania,509,21,0
Africa,Western_Sahara,766,1,0
Africa,Zambia,84797,1158,6263
Africa,Zimbabwe,36484,1503,395
America,Anguilla,21,0,3
America,Antigua_and_Barbuda,983,27,214
America,Argentina,2201832,53836,89860
America,Aruba,8421,79,513
America,Bahamas,8765,186,246
America,Barbados,3442,38,327
America,Belize,12383,316,70
America,Bermuda,740,12,27
America,Bolivia,260059,11974,11049
America,"Bonaire, Saint Eustatius and Saba",804,6,359
America,Brazil,11519609,279286,932608
America,British_Virgin_Islands,154,1,1
America,Canada,913047,22495,43014
America,Cayman_Islands,474,2,27
America,Chile,896231,21772,66461
America,Colombia,2305884,61243,50624
America,Costa_Rica,210447,2886,5361
America,Cuba,62206,373,11616
America,Curaçao,5138,22,407
America,Dominica,157,0,15
America,Dominican_Republic,246299,3226,6301
America,Ecuador,302498,16240,16131
America,El_Salvador,62531,1958,2665
America,Falkland_Islands_(Malvinas),54,0,3
America,Greenland,31,0,1
America,Grenada,154,1,6
America,Guatemala,183014,6578,8361
America,Guyana,9187,207,602
America,Haiti,12669,250,176
America,Honduras,178925,4360,8621
America,Jamaica,31305,492,7706
America,Mexico,2167729,194944,78448
America,Montserrat,20,1,0
America,Nicaragua,6537,175,48
America,Panama,348155,6005,7240
America,Paraguay,181414,3517,20966
America,Peru,1418974,49177,86035
America,Puerto_Rico,193046,2081,10372
America,Saint_Kitts_and_Nevis,43,0,2
America,Saint_Lucia,4053,55,663
America,Saint_Vincent_and_the_Grenadines,1681,9,53
America,Sint_Maarten,2085,27,25
America,Suriname,9028,176,95
America,Trinidad_and_Tobago,7788,140,75
America,Turks_and_Caicos_islands,2233,15,119
America,United_States_of_America,29495422,535661,889761
America,United_States_Virgin_Islands,2767,25,121
America,Uruguay,72862,717,14273
America,Venezuela,145953,1437,6837
Asia,Afghanistan,55995,2460,236
Asia,Bahrain,131001,484,8607
Asia,Bangladesh,557395,8545,11179
Asia,Bhutan,868,1,1
Asia,Brunei_Darussalam,192,3,6
Asia,Cambodia,1325,1,481
Asia,China,101373,4839,408
Asia,India,11385339,158725,273098
Asia,Indonesia,1419455,38426,84821
Asia,Iran,1746953,61230,115784
Asia,Iraq,758184,13751,62695
Asia,Israel,819987,6025,41815
Asia,Japan,447906,8590,15133
Asia,Jordan,477053,5346,79895
Asia,Kazakhstan,278052,3511,15337
Asia,Kuwait,209523,1172,18671
Asia,Kyrgyzstan,86850,1481,599
Asia,Laos,49,0,4
Asia,Lebanon,418448,5380,43398
Asia,Malaysia,323763,1210,23011
Asia,Maldives,21572,64,1779
Asia,Mongolia,3833,4,881
Asia,Myanmar,142147,3200,251
Asia,Nepal,275231,3014,1088
Asia,Oman,146867,1608,5059
Asia,Pakistan,607453,13537,26088
Asia,Palestine,236592,2509,28242
Asia,Philippines,621498,12829,45146
Asia,Qatar,170252,266,6115
Asia,Saudi_Arabia,382407,6567,5024
Asia,Singapore,60105,30,169
Asia,South_Korea,96017,1675,5988
Asia,Sri_Lanka,87907,527,4665
Asia,Syria,16478,1099,920
Asia,Taiwan,990,10,35
Asia,Tajikistan,13308,90,0
Asia,Thailand,27005,87,974
Asia,Timor_Leste,196,0,83
Asia,United_Arab_Emirates,426397,1395,34873
Asia,Uzbekistan,80247,622,498
Asia,Vietnam,2554,35,106
Asia,Yemen,2836,689,563
Europe,Albania,117474,2045,10307
Europe,Andorra,11226,113,337
Europe,Armenia,178702,3265,6486
Europe,Austria,490671,8669,34559
Europe,Azerbaijan,240295,3282,5633
Europe,Belarus,302323,2095,14056
Europe,Belgium,810909,22544,37842
Europe,Bosnia_and_Herzegovina,142160,5446,10022
Europe,Bulgaria,278557,11285,31519
Europe,Croatia,251174,5685,8110
Europe,Cyprus,39651,240,4944
Europe,Czechia,1402420,23379,162369
Europe,Denmark,221071,2393,9379
Europe,Estonia,86086,728,19458
Europe,Faroe_Islands,661,1,3
Europe,Finland,67334,800,9270
Europe,France,4071662,90455,315694
Europe,Georgia,275148,3650,4230
Europe,Germany,2575849,73418,128781
Europe,Gibraltar,4263,94,24
Europe,Greece,221147,7091,30047
Europe,Guernsey,821,14,0
Europe,Holy_See,26,0,0
Europe,Hungary,524196,17083,91271
Europe,Iceland,6083,29,29
Europe,Ireland,226741,4534,7149
Europe,Isle_of_Man,842,25,358
Europe,Italy,3223142,102145,297877
Europe,Jersey,3222,69,5
Europe,Kosovo,77253,1702,8023
Europe,Latvia,93781,1767,7595
Europe,Liechtenstein,2692,54,117
Europe,Lithuania,205644,3410,6246
Europe,Luxembourg,57877,689,2452
Europe,Malta,26748,354,3568
Europe,Moldova,204463,4330,19010
Europe,Monaco,2107,25,151
Europe,Montenegro,83693,1129,7860
Europe,Netherlands,1161197,16067,70141
Europe,North_Macedonia,112646,3319,9859
Europe,Norway,80440,640,9438
Europe,Poland,1917527,47206,205755
Europe,Portugal,814513,16694,9557
Europe,Romania,862681,21565,58591
Europe,Russia,4390608,92090,132958
Europe,San_Marino,3935,76,219
Europe,Serbia,516277,4719,57018
Europe,Slovakia,337960,8605,29035
Europe,Slovenia,200579,4220,10255
Europe,Spain,3195062,72424,69395
Europe,Sweden,722590,13137,56376
Europe,Switzerland,573815,9434,18975
Europe,Turkey,2879390,29489,177802
Europe,Ukraine,1467548,28433,115414
Europe,United_Kingdom,4258438,125516,81884
Oceania,Australia,29117,909,147
Oceania,Fiji,66,2,7
Oceania,French_Polynesia,18527,141,140
Oceania,Guam,7768,133,31
Oceania,Marshall_Islands,4,0,0
Oceania,Micronesia_(Federated_States_of),0,0,0
Oceania,New_Caledonia,93,0,35
Oceania,New_Zealand,2074,26,52
Oceania,Northern_Mariana_Islands,154,2,11
Oceania,Papua_New_Guinea,1819,21,544
Oceania,Solomon_Islands,18,0,0
Oceania,Vanuatu,3,0,2
Oceania,Wallis_and_Futuna,186,0,177
Other,Cases_on_an_international_conveyance_Japan,705,6,0
