Region,Country,Sum of Cases,Sum of Deaths,Confirmed cases during 14-days period
Africa,Algeria,116946,3084,1681
Africa,Angola,22063,533,683
Africa,Benin,7100,90,599
Africa,Botswana,37943,506,2934
Africa,Burkina_Faso,12692,145,314
Africa,Burundi,2757,6,296
Africa,Cameroon,47669,721,8681
Africa,Cape_Verde,17125,165,1024
Africa,Central_African_Republic,5087,64,62
Africa,Chad,4506,162,197
Africa,Comoros,3690,146,55
Africa,Congo,9681,135,352
Africa,Cote_dIvoire,43180,237,5527
Africa,Democratic_Republic_of_the_Congo,28012,739,936
Africa,Djibouti,7361,67,1093
Africa,Egypt,200050,11882,9126
Africa,Equatorial_Guinea,6914,102,352
Africa,Eritrea,3208,9,170
Africa,Eswatini,17321,667,84
Africa,Ethiopia,200563,2784,25096
Africa,Gabon,18777,111,2117
Africa,Gambia,5420,164,401
Africa,Ghana,90287,740,2525
Africa,Guinea,19670,120,1819
Africa,Guinea_Bissau,3634,61,254
Africa,Kenya,130214,2117,16978
Africa,Lesotho,10686,315,156
Africa,Liberia,2053,85,23
Africa,Libya,157545,2653,12552
Africa,Madagascar,23585,387,2229
Africa,Malawi,33481,1114,650
Africa,Mali,9871,379,958
Africa,Mauritania,17745,448,321
Africa,Mauritius,870,10,179
Africa,Morocco,494659,8798,5722
Africa,Mozambique,67197,764,2681
Africa,Namibia,43632,509,2432
Africa,Niger,4987,185,127
Africa,Nigeria,162593,2048,1936
Africa,Rwanda,21419,301,1233
Africa,Sao_Tome_and_Principe,2212,34,134
Africa,Senegal,38520,1037,1628
Africa,Seychelles,4084,20,569
Africa,Sierra_Leone,3970,79,33
Africa,Somalia,10676,479,1486
Africa,South_Africa,1545431,52663,16011
Africa,South_Sudan,10103,108,490
Africa,Sudan,31407,2028,418
Africa,Togo,9955,107,1772
Africa,Tunisia,251169,8760,9045
Africa,Uganda,40767,335,186
Africa,United_Republic_of_Tanzania,509,21,0
Africa,Western_Sahara,766,1,0
Africa,Zambia,87872,1200,3075
Africa,Zimbabwe,36822,1520,338
America,Anguilla,25,0,4
America,Antigua_and_Barbuda,1136,28,153
America,Argentina,2322557,55611,120725
America,Aruba,9294,82,873
America,Bahamas,9076,188,311
America,Barbados,3634,41,192
America,Belize,12411,317,28
America,Bermuda,1136,12,396
America,Bolivia,269628,12186,9569
America,"Bonaire, Saint Eustatius and Saba",1341,10,537
America,Brazil,12573615,313866,1054006
America,British_Virgin_Islands,154,1,0
America,Canada,971715,22900,58668
America,Cayman_Islands,499,2,25
America,Chile,984484,23070,88253
America,Colombia,2389779,63079,83895
America,Costa_Rica,215178,2931,4731
America,Cuba,73204,417,10998
America,Curaçao,7740,33,2602
America,Dominica,161,0,4
America,Dominican_Republic,252182,3307,5883
America,Ecuador,325124,16746,22626
America,El_Salvador,64431,2006,1900
America,Falkland_Islands_(Malvinas),54,0,0
America,Greenland,31,0,0
America,Grenada,155,1,1
America,Guatemala,193556,6809,10542
America,Guyana,10168,227,981
America,Haiti,12760,251,91
America,Honduras,187015,4557,8090
America,Jamaica,38514,586,7209
America,Mexico,2227842,201826,60113
America,Montserrat,20,1,0
America,Nicaragua,6629,177,92
America,Panama,353839,6100,5684
America,Paraguay,210425,4113,29011
America,Peru,1533121,51635,114147
America,Puerto_Rico,203603,2112,10557
America,Saint_Kitts_and_Nevis,44,0,1
America,Saint_Lucia,4191,58,138
America,Saint_Vincent_and_the_Grenadines,1739,10,58
America,Sint_Maarten,2134,27,49
